images\000000000.tif  labels\000000000.xml 
images\000000001.tif  labels\000000001.xml 
images\000000002.tif  labels\000000002.xml 
images\000000003.tif  labels\000000003.xml 
images\000000004.tif  labels\000000004.xml 
images\000000005.tif  labels\000000005.xml 
images\000000006.tif  labels\000000006.xml 
images\000000007.tif  labels\000000007.xml 
images\000000008.tif  labels\000000008.xml 
images\000000009.tif  labels\000000009.xml 
images\000000010.tif  labels\000000010.xml 
images\000000011.tif  labels\000000011.xml 
images\000000012.tif  labels\000000012.xml 
images\000000013.tif  labels\000000013.xml 
images\000000014.tif  labels\000000014.xml 
images\000000015.tif  labels\000000015.xml 
images\000000016.tif  labels\000000016.xml 
images\000000017.tif  labels\000000017.xml 
images\000000018.tif  labels\000000018.xml 
images\000000019.tif  labels\000000019.xml 
images\000000020.tif  labels\000000020.xml 
images\000000021.tif  labels\000000021.xml 
images\000000022.tif  labels\000000022.xml 
images\000000023.tif  labels\000000023.xml 
images\000000024.tif  labels\000000024.xml 
images\000000025.tif  labels\000000025.xml 
images\000000026.tif  labels\000000026.xml 
images\000000027.tif  labels\000000027.xml 
images\000000028.tif  labels\000000028.xml 
images\000000029.tif  labels\000000029.xml 
images\000000030.tif  labels\000000030.xml 
images\000000031.tif  labels\000000031.xml 
images\000000032.tif  labels\000000032.xml 
images\000000033.tif  labels\000000033.xml 
images\000000034.tif  labels\000000034.xml 
images\000000035.tif  labels\000000035.xml 
images\000000036.tif  labels\000000036.xml 
images\000000037.tif  labels\000000037.xml 
images\000000038.tif  labels\000000038.xml 
images\000000039.tif  labels\000000039.xml 
images\000000040.tif  labels\000000040.xml 
images\000000041.tif  labels\000000041.xml 
images\000000042.tif  labels\000000042.xml 
images\000000043.tif  labels\000000043.xml 
images\000000044.tif  labels\000000044.xml 
images\000000045.tif  labels\000000045.xml 
images\000000046.tif  labels\000000046.xml 
images\000000047.tif  labels\000000047.xml 
images\000000048.tif  labels\000000048.xml 
images\000000049.tif  labels\000000049.xml 
images\000000050.tif  labels\000000050.xml 
images\000000051.tif  labels\000000051.xml 
images\000000052.tif  labels\000000052.xml 
images\000000053.tif  labels\000000053.xml 
images\000000054.tif  labels\000000054.xml 
images\000000055.tif  labels\000000055.xml 
images\000000056.tif  labels\000000056.xml 
images\000000057.tif  labels\000000057.xml 
images\000000058.tif  labels\000000058.xml 
images\000000059.tif  labels\000000059.xml 
images\000000060.tif  labels\000000060.xml 
images\000000061.tif  labels\000000061.xml 
images\000000062.tif  labels\000000062.xml 
images\000000063.tif  labels\000000063.xml 
images\000000064.tif  labels\000000064.xml 
images\000000065.tif  labels\000000065.xml 
images\000000066.tif  labels\000000066.xml 
images\000000067.tif  labels\000000067.xml 
images\000000068.tif  labels\000000068.xml 
images\000000069.tif  labels\000000069.xml 
images\000000070.tif  labels\000000070.xml 
images\000000071.tif  labels\000000071.xml 
images\000000072.tif  labels\000000072.xml 
images\000000073.tif  labels\000000073.xml 
images\000000074.tif  labels\000000074.xml 
images\000000075.tif  labels\000000075.xml 
images\000000076.tif  labels\000000076.xml 
images\000000077.tif  labels\000000077.xml 
images\000000078.tif  labels\000000078.xml 
images\000000079.tif  labels\000000079.xml 
images\000000080.tif  labels\000000080.xml 
images\000000081.tif  labels\000000081.xml 
images\000000082.tif  labels\000000082.xml 
images\000000083.tif  labels\000000083.xml 
images\000000084.tif  labels\000000084.xml 
images\000000085.tif  labels\000000085.xml 
images\000000086.tif  labels\000000086.xml 
images\000000087.tif  labels\000000087.xml 
images\000000088.tif  labels\000000088.xml 
images\000000089.tif  labels\000000089.xml 
images\000000090.tif  labels\000000090.xml 
images\000000091.tif  labels\000000091.xml 
images\000000092.tif  labels\000000092.xml 
images\000000093.tif  labels\000000093.xml 
images\000000094.tif  labels\000000094.xml 
images\000000095.tif  labels\000000095.xml 
images\000000096.tif  labels\000000096.xml 
images\000000097.tif  labels\000000097.xml 
images\000000098.tif  labels\000000098.xml 
images\000000099.tif  labels\000000099.xml 
images\000000100.tif  labels\000000100.xml 
images\000000101.tif  labels\000000101.xml 
images\000000102.tif  labels\000000102.xml 
images\000000103.tif  labels\000000103.xml 
images\000000104.tif  labels\000000104.xml 
images\000000105.tif  labels\000000105.xml 
images\000000106.tif  labels\000000106.xml 
images\000000107.tif  labels\000000107.xml 
images\000000108.tif  labels\000000108.xml 
images\000000109.tif  labels\000000109.xml 
images\000000110.tif  labels\000000110.xml 
images\000000111.tif  labels\000000111.xml 
images\000000112.tif  labels\000000112.xml 
images\000000113.tif  labels\000000113.xml 
images\000000114.tif  labels\000000114.xml 
images\000000115.tif  labels\000000115.xml 
images\000000116.tif  labels\000000116.xml 
images\000000117.tif  labels\000000117.xml 
images\000000118.tif  labels\000000118.xml 
images\000000119.tif  labels\000000119.xml 
images\000000120.tif  labels\000000120.xml 
images\000000121.tif  labels\000000121.xml 
images\000000122.tif  labels\000000122.xml 
images\000000123.tif  labels\000000123.xml 
images\000000124.tif  labels\000000124.xml 
images\000000125.tif  labels\000000125.xml 
images\000000126.tif  labels\000000126.xml 
images\000000127.tif  labels\000000127.xml 
images\000000128.tif  labels\000000128.xml 
images\000000129.tif  labels\000000129.xml 
images\000000130.tif  labels\000000130.xml 
images\000000131.tif  labels\000000131.xml 
images\000000132.tif  labels\000000132.xml 
images\000000133.tif  labels\000000133.xml 
images\000000134.tif  labels\000000134.xml 
images\000000135.tif  labels\000000135.xml 
images\000000136.tif  labels\000000136.xml 
images\000000137.tif  labels\000000137.xml 
images\000000138.tif  labels\000000138.xml 
images\000000139.tif  labels\000000139.xml 
images\000000140.tif  labels\000000140.xml 
images\000000141.tif  labels\000000141.xml 
images\000000142.tif  labels\000000142.xml 
images\000000143.tif  labels\000000143.xml 
images\000000144.tif  labels\000000144.xml 
images\000000145.tif  labels\000000145.xml 
images\000000146.tif  labels\000000146.xml 
images\000000147.tif  labels\000000147.xml 
images\000000148.tif  labels\000000148.xml 
images\000000149.tif  labels\000000149.xml 
images\000000150.tif  labels\000000150.xml 
images\000000151.tif  labels\000000151.xml 
images\000000152.tif  labels\000000152.xml 
images\000000153.tif  labels\000000153.xml 
images\000000154.tif  labels\000000154.xml 
images\000000155.tif  labels\000000155.xml 
images\000000156.tif  labels\000000156.xml 
images\000000157.tif  labels\000000157.xml 
images\000000158.tif  labels\000000158.xml 
images\000000159.tif  labels\000000159.xml 
images\000000160.tif  labels\000000160.xml 
images\000000161.tif  labels\000000161.xml 
images\000000162.tif  labels\000000162.xml 
images\000000163.tif  labels\000000163.xml 
images\000000164.tif  labels\000000164.xml 
images\000000165.tif  labels\000000165.xml 
images\000000166.tif  labels\000000166.xml 
images\000000167.tif  labels\000000167.xml 
images\000000168.tif  labels\000000168.xml 
images\000000169.tif  labels\000000169.xml 
images\000000170.tif  labels\000000170.xml 
images\000000171.tif  labels\000000171.xml 
images\000000172.tif  labels\000000172.xml 
images\000000173.tif  labels\000000173.xml 
images\000000174.tif  labels\000000174.xml 
images\000000175.tif  labels\000000175.xml 
images\000000176.tif  labels\000000176.xml 
images\000000177.tif  labels\000000177.xml 
images\000000178.tif  labels\000000178.xml 
images\000000179.tif  labels\000000179.xml 
images\000000180.tif  labels\000000180.xml 
images\000000181.tif  labels\000000181.xml 
images\000000182.tif  labels\000000182.xml 
images\000000183.tif  labels\000000183.xml 
images\000000184.tif  labels\000000184.xml 
images\000000185.tif  labels\000000185.xml 
images\000000186.tif  labels\000000186.xml 
images\000000187.tif  labels\000000187.xml 
images\000000188.tif  labels\000000188.xml 
images\000000189.tif  labels\000000189.xml 
images\000000190.tif  labels\000000190.xml 
images\000000191.tif  labels\000000191.xml 
images\000000192.tif  labels\000000192.xml 
images\000000193.tif  labels\000000193.xml 
images\000000194.tif  labels\000000194.xml 
images\000000195.tif  labels\000000195.xml 
images\000000196.tif  labels\000000196.xml 
images\000000197.tif  labels\000000197.xml 
images\000000198.tif  labels\000000198.xml 
images\000000199.tif  labels\000000199.xml 
images\000000200.tif  labels\000000200.xml 
images\000000201.tif  labels\000000201.xml 
images\000000202.tif  labels\000000202.xml 
images\000000203.tif  labels\000000203.xml 
images\000000204.tif  labels\000000204.xml 
images\000000205.tif  labels\000000205.xml 
images\000000206.tif  labels\000000206.xml 
images\000000207.tif  labels\000000207.xml 
images\000000208.tif  labels\000000208.xml 
images\000000209.tif  labels\000000209.xml 
images\000000210.tif  labels\000000210.xml 
images\000000211.tif  labels\000000211.xml 
images\000000212.tif  labels\000000212.xml 
images\000000213.tif  labels\000000213.xml 
images\000000214.tif  labels\000000214.xml 
images\000000215.tif  labels\000000215.xml 
images\000000216.tif  labels\000000216.xml 
images\000000217.tif  labels\000000217.xml 
images\000000218.tif  labels\000000218.xml 
images\000000219.tif  labels\000000219.xml 
images\000000220.tif  labels\000000220.xml 
images\000000221.tif  labels\000000221.xml 
images\000000222.tif  labels\000000222.xml 
images\000000223.tif  labels\000000223.xml 
images\000000224.tif  labels\000000224.xml 
images\000000225.tif  labels\000000225.xml 
images\000000226.tif  labels\000000226.xml 
images\000000227.tif  labels\000000227.xml 
images\000000228.tif  labels\000000228.xml 
images\000000229.tif  labels\000000229.xml 
images\000000230.tif  labels\000000230.xml 
images\000000231.tif  labels\000000231.xml 
images\000000232.tif  labels\000000232.xml 
images\000000233.tif  labels\000000233.xml 
images\000000234.tif  labels\000000234.xml 
images\000000235.tif  labels\000000235.xml 
images\000000236.tif  labels\000000236.xml 
images\000000237.tif  labels\000000237.xml 
images\000000238.tif  labels\000000238.xml 
images\000000239.tif  labels\000000239.xml 
images\000000240.tif  labels\000000240.xml 
images\000000241.tif  labels\000000241.xml 
images\000000242.tif  labels\000000242.xml 
images\000000243.tif  labels\000000243.xml 
images\000000244.tif  labels\000000244.xml 
images\000000245.tif  labels\000000245.xml 
images\000000246.tif  labels\000000246.xml 
images\000000247.tif  labels\000000247.xml 
images\000000248.tif  labels\000000248.xml 
images\000000249.tif  labels\000000249.xml 
images\000000250.tif  labels\000000250.xml 
images\000000251.tif  labels\000000251.xml 
images\000000252.tif  labels\000000252.xml 
images\000000253.tif  labels\000000253.xml 
images\000000254.tif  labels\000000254.xml 
images\000000255.tif  labels\000000255.xml 
images\000000256.tif  labels\000000256.xml 
images\000000257.tif  labels\000000257.xml 
images\000000258.tif  labels\000000258.xml 
images\000000259.tif  labels\000000259.xml 
images\000000260.tif  labels\000000260.xml 
images\000000261.tif  labels\000000261.xml 
images\000000262.tif  labels\000000262.xml 
images\000000263.tif  labels\000000263.xml 
images\000000264.tif  labels\000000264.xml 
images\000000265.tif  labels\000000265.xml 
images\000000266.tif  labels\000000266.xml 
images\000000267.tif  labels\000000267.xml 
images\000000268.tif  labels\000000268.xml 
images\000000269.tif  labels\000000269.xml 
images\000000270.tif  labels\000000270.xml 
images\000000271.tif  labels\000000271.xml 
images\000000272.tif  labels\000000272.xml 
images\000000273.tif  labels\000000273.xml 
images\000000274.tif  labels\000000274.xml 
images\000000275.tif  labels\000000275.xml 
images\000000276.tif  labels\000000276.xml 
images\000000277.tif  labels\000000277.xml 
images\000000278.tif  labels\000000278.xml 
images\000000279.tif  labels\000000279.xml 
images\000000280.tif  labels\000000280.xml 
images\000000281.tif  labels\000000281.xml 
images\000000282.tif  labels\000000282.xml 
images\000000283.tif  labels\000000283.xml 
images\000000284.tif  labels\000000284.xml 
images\000000285.tif  labels\000000285.xml 
images\000000286.tif  labels\000000286.xml 
images\000000287.tif  labels\000000287.xml 
